org:founded_by    268   organization    person
per:employee_of    2163 person  organization
org:alternate_names    1359 organization    organization
per:cities_of_residence    742  person  location/city
per:children    347 person  person
per:title    3862   person  title
per:siblings    250 person  person
per:religion    153 person  religion
per:age    833  person  number
org:website    223  organization    website
per:stateorprovinces_of_residence    484    person  location/state_or_province
org:member_of    171    organization    organization
org:top_members/employees    2770   organization    person
per:countries_of_residence    819   person  location/country
org:city_of_headquarters    573 organization    location/city
org:members    286  organization    country
org:country_of_headquarters    753  organization    country
per:spouse    483   person  person
org:stateorprovince_of_headquarters    350  organization    location/state_or_province
org:number_of_employees/members    121  organization    number
org:parents    444  person  person
org:subsidiaries    453 organization    organization
per:origin    667   person  location/country
org:political/religious_affiliation    125  organization    religion
per:other_family    319 person  person
per:stateorprovince_of_birth    72  person  location/state_or_province
org:dissolved    33 organization    date
per:date_of_death    394    person  date
org:shareholders    144 organization    person
per:alternate_names    153  person  person
per:parents    296  person  person
per:schools_attended    229 person  organization/school
per:cause_of_death    337   person  cause
per:city_of_death    227    person  location/city
per:stateorprovince_of_death    104 person  location/state_or_province
org:founded    166  organization    date
per:country_of_birth    53  person  location/country
per:date_of_birth    103    person  date
per:city_of_birth    103    person  location/city
per:charges    280  person  crime
per:country_of_death    61  person  location/country
